,seed_title,seed_url,seed_creator,rec_title,rec_url,rec_creator
0,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,Jordan Peterson on the 'backlash against masculinity' - BBC News,https://www.youtube.com//watch?v=ShS4uEY2Jw8,BBC News
1,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com//watch?v=aMcjxSThD54,Channel 4 News
2,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,Jordan Peterson discusses whether men and women can ever be equal,https://www.youtube.com//watch?v=Iy4vq8RdPGU,Jeremy Vine on 5 - Official Channel
3,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,Jordan Peterson on the #Metoo Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post
4,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,Jordan Peterson discusses whether men and women can ever be equal,https://www.youtube.com//watch?v=Iy4vq8RdPGU,Jeremy Vine on 5 - Official Channel
5,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post,"Jordan Peterson Calls Out The ""Pseudo-moralistic Stances"" Of Activists | Q&A",https://www.youtube.com//watch?v=qTk-69f64KU,abcqanda
6,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ
7,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post,Jordan Peterson | Political Correctness and Postmodernism,https://www.youtube.com//watch?v=f5rUPatnXSE,ideacity
8,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News
9,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com//watch?v=g8GSlP2yCD8,National Post,How To Avoid Embarrassing Yourself In An Argument  - Jordan Peterson,https://www.youtube.com//watch?v=nS9W-wlJHPA,Charisma on Command
10,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News,The Super Mario Effect - Tricking Your Brain into Learning More | Mark Rober | TEDxPenn,https://www.youtube.com//watch?v=9vJRopau0g0,TEDx Talks
11,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News,"Jordan Peterson: “If You Haven’t Done Anything Wrong, Do Not Apologise” | Q&A",https://www.youtube.com//watch?v=j20o1mbixgc,abcqanda
12,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com//watch?v=ve4JZRGkrHU,Forbes Breaking News
13,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com//watch?v=jMzZ8e8kzKQ,Fox News
14,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM,CBC News,Jordan Peterson Confronts Australian Politician on Gender Politics and Quotas | Q&A,https://www.youtube.com//watch?v=tOHUwwP6LLs,abcqanda
15,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com//watch?v=ve4JZRGkrHU,Forbes Breaking News,Black Guns Matter founder: Most Americans see the 'fake media' CNN is,https://www.youtube.com//watch?v=Uo80D42DxUM,Fox News
