,seed_title,seed_url,seed_creator,seed_viewcount,seed_upload_date,rec_title,rec_url,rec_creator,rec_viewcount,rec_upload_date
0,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"1,134,524",1-Dec-16,Jordan Peterson on the 'backlash against masculinity' - BBC News,https://www.youtube.com/watch?v=ShS4uEY2Jw8,BBC News,"928,291",7-Aug-18
1,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"1,134,524",1-Dec-16,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com/watch?v=aMcjxSThD54,Channel 4 News,"29,767,076",16-Jan-18
2,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"1,134,524",1-Dec-16,Jordan Peterson discusses whether men and women can ever be equal,https://www.youtube.com/watch?v=Iy4vq8RdPGU,Jeremy Vine on 5 - Official Channel,"8,862,021",18-May-18
3,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"1,134,524",1-Dec-16,Jordan Peterson on the #Metoo Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18
4,Jordan Peterson on Women's Studies (from Joe Rogan Experience #877​),https://www.youtube.com/watch?v=88KJ5rgCNmk,PowerfulJRE,"1,134,524",1-Dec-16,Jordan Peterson discusses whether men and women can ever be equal,https://www.youtube.com/watch?v=Iy4vq8RdPGU,Jeremy Vine on 5 - Official Channel,"8,862,021",18-May-18
5,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18,"Jordan Peterson Calls Out The ""Pseudo-moralistic Stances"" Of Activists | Q&A",https://www.youtube.com/watch?v=qTk-69f64KU,abcqanda,"9,253,140",26-Feb-19
6,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18
7,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18,Jordan Peterson | Political Correctness and Postmodernism,https://www.youtube.com/watch?v=f5rUPatnXSE,ideacity,"1,614,072",12-Sep-17
8,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16
9,Jordan Peterson on the #Metoo​ Moment,https://www.youtube.com/watch?v=g8GSlP2yCD8,National Post,"3,685,119",24-Mar-18,How To Avoid Embarrassing Yourself In An Argument  - Jordan Peterson,https://www.youtube.com/watch?v=nS9W-wlJHPA,Charisma on Command,"12,841,198",22-Jan-18
10,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16,The Super Mario Effect - Tricking Your Brain into Learning More | Mark Rober | TEDxPenn,https://www.youtube.com/watch?v=9vJRopau0g0,TEDx Talks,"10,245,406",31-May-18
11,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16,"Jordan Peterson: “If You Haven’t Done Anything Wrong, Do Not Apologise” | Q&A",https://www.youtube.com/watch?v=j20o1mbixgc,abcqanda,"5,205,164",27-Feb-19
12,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21
13,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com/watch?v=jMzZ8e8kzKQ,Fox News,"1,808,305",19-Apr-21
14,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM,CBC News,"5,021,684",29-Oct-16,Jordan Peterson Confronts Australian Politician on Gender Politics and Quotas | Q&A,https://www.youtube.com/watch?v=tOHUwwP6LLs,abcqanda,"8,524,803",25-Feb-19
15,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21,Black Guns Matter founder: Most Americans see the 'fake media' CNN is,https://www.youtube.com/watch?v=Uo80D42DxUM,Fox News,"1,457,852",15-Apr-21
16,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21,Life Before Execution | Indiana’s Death Row Inmates: Part Two | Real Stories,https://www.youtube.com/watch?v=0__XpC6c-bQ,Real Stories,"8,966,921",30-Aug-17
17,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21
18,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21
19,Scalise Confronts Fauci With Migrant Detention Pics: “Does this look like social distancing to you?”,https://www.youtube.com/watch?v=ve4JZRGkrHU,Forbes Breaking News,"1,254,402",15-Apr-21,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21
20,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18
21,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21,"JUST IN: Ted Cruz Calls Hollywood ""Social Justice Warriors"" For Censoring Content To Appease China",https://www.youtube.com/watch?v=J9gzPiAAfuo,Forbes Breaking News,"264,932",21-Apr-21
22,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18
23,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21,"JUST IN: Ted Cruz Calls Hollywood ""Social Justice Warriors"" For Censoring Content To Appease China",https://www.youtube.com/watch?v=J9gzPiAAfuo,Forbes Breaking News,"264,932",21-Apr-21
24,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com/watch?v=v8KTGOLqU0o,Forbes Breaking News,"1,268,771",24-Mar-21,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18
25,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com/watch?v=SiijS_9hPkM&t=14s,CBC News,"5,021,794",29-Oct-16
26,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18,Hidden cameras expose Kim Jong-un's clandestine weapon and drugs trade  | 60 Minutes Australia,https://www.youtube.com/watch?v=1J1zAnA2Wds,60 Minutes Australia,"3,303,978",29-Mar-21
27,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18,Michio Kaku: The Universe in a Nutshell (Full Presentation) | Big Think,https://www.youtube.com/watch?v=0NbBjNiw4tk,Big Think,"14,806,635",15-Aug-12
28,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com/watch?v=aMcjxSThD54,Channel 4 News,"29,767,076",16-Jan-18
