,seed_title,seed_url,seed_creator,seed_viewcount,seed_upload_date,rec_title,rec_url,rec_creator,rec_viewcount,rec_upload_date
0,Woman Easily Opens Jar After Watching Men Struggle,https://www.youtube.com/watch?v=GNMqW_YAE-E,Daily Dose Of Internet,"4,657,587","Apr 19, 2021",Colored iMacs? Let's Talk About Apple's 4/20 Event!,https://www.youtube.com//watch?v=vInUoPtg8m0,Marques Brownlee,3.2M,1 day ago
1,Woman Easily Opens Jar After Watching Men Struggle,https://www.youtube.com/watch?v=GNMqW_YAE-E,Daily Dose Of Internet,"4,657,587","Apr 19, 2021",I Spent 100 Days in a Parasite Apocalypse in Minecraft... Here's What Happened,https://www.youtube.com//watch?v=CxkvhxrJde0,Forge Labs,12M,5 days ago
2,Woman Easily Opens Jar After Watching Men Struggle,https://www.youtube.com/watch?v=GNMqW_YAE-E,Daily Dose Of Internet,"4,657,587","Apr 19, 2021",World's Weirdest Item | OT 26,https://www.youtube.com//watch?v=PAgQHcKMOIk,Dude Perfect,8.2M,3 days ago
3,Woman Easily Opens Jar After Watching Men Struggle,https://www.youtube.com/watch?v=GNMqW_YAE-E,Daily Dose Of Internet,"4,657,587","Apr 19, 2021",Horrible $39 Million Apartment,https://www.youtube.com//watch?v=PANHbjhnYdU,penguinz0,2M,3 days ago
4,Woman Easily Opens Jar After Watching Men Struggle,https://www.youtube.com/watch?v=GNMqW_YAE-E,Daily Dose Of Internet,"4,657,587","Apr 19, 2021","MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,15M,2 days ago
5,"MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,"15,315,846","Apr 20, 2021",Mortal Kombat |  Opening Seven Minutes  | HBO Max,https://www.youtube.com//watch?v=mKfzjGJu5do,HBO Max,758K,2 days ago
6,"MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,"15,315,846","Apr 20, 2021",Doctor Sleep (2019) KILL COUNT,https://www.youtube.com//watch?v=90MNvA5ozcI,Dead Meat,4.3M,3 months ago
7,"MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,"15,315,846","Apr 20, 2021",Legendary Fake Plays,https://www.youtube.com//watch?v=SSH93UwR9jE,Spor Delisi HD,13M,4 months ago
8,"MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,"15,315,846","Apr 20, 2021",Throwback Thursday: Racist Or Funny? | Gabriel Iglesias,https://www.youtube.com//watch?v=UDLpEQmdNZE,Gabriel Iglesias,9M,2 years ago
9,"MORTAL KOMBAT ""Scorpion VS Sub-Zero"" Opening Scene (2021)",https://www.youtube.com//watch?v=VwU3SlQ723Q,ONE Media,"15,315,846","Apr 20, 2021","MORTAL KOMBAT ""Sub-Zero VS Cole Young"" Trailer (NEW 2021) Action Movie HD",https://www.youtube.com//watch?v=Qz6VJN_mgp8,ONE Media,5.3M,1 week ago
10,Doctor Sleep (2019) KILL COUNT,https://www.youtube.com//watch?v=90MNvA5ozcI,Dead Meat,"4,379,128","Dec 27, 2020",Moonwalking in Paris...,https://www.youtube.com//watch?v=bhSZrU2F_i8,Steph Curry,46M,2 years ago
